ID,Company_Name,Twitter_Account
526,ArianeGroup,ArianeGroup
527,Canal+,canalplus
528,Firmenich,firmenich
529,Airbus Helicopters,AirbusHC
530,Proton,protonmsia
531,Chewy,null
532,Calvin Klein,CalvinKlein
533,Zoetis,zoetis
534,The We Company,WeWork
535,Janssen,null
536,Deutsche Bahn,db_press
537,Volkswagen Mexico,VolkswagenMX
538,Santander UK,ASWO
539,Aptiv,aptiv
540,Syngenta,SyngentaUS
541,The Ritz-Carlton Hotel Company,ritzcarlton
542,Optum,optumnews
543,Zenith Hygiene Group,null
544,ABS CBN,ABSCBNNews
545,Pernod Ricard,Pernod_Ricard
546,TechnipFMC,TechnipFMC
547,Idemia,IdemiaGroup
548,Vi,ViCustomerCare
549,Coca-Cola Femsa,FEMSA
550,Audi Mexico,AudideMexico
551,Accenture France & Benelux,AccentureFrance
552,Tata Group,TataCompanies
553,Farmers Insurance Group,wearefarmers
554,Tata Steel,Tatasteelltd
555,Wegmans Food Markets,wegmans
556,Vitamin Shoppe,VitaminShoppe
557,BCE,BellEnterprise
558,McKesson,McKesson
559,HCSC,hcsc
560,Axis Bank,axisbank
561,Emirates NBD,EmiratesNBD
562,Sony Interactive Entertainment,playstation
563,Lululemon Athletica,lululemon
564,Standard Bank,standardbankgrp
565,Grupo Televisa,TelevisaDotCom
566,CGI Group,CGI_Global
567,Viking River Cruises,VikingRiver
568,Logitech,Logitech
569,Hulu,hulu
570,Asda,asda
571,Ashok Leyland,ALIndiaOfficial
572,SM Entertainment,SMTOWNGLOBAL
573,Zappos,zapposstyle
574,STMicroelectronics,st_world
575,Beiersdorf,Beiersdorf_AG
576,CNH Industrial,CNHIndustrial
577,CIMB,null
578,Novo Nordisk,novonordisk
579,NetXP,null
580,Sysco,Sysco
581,Harley-Davidson,harleydavidson
582,Tag Heuer,TAGHeuer
583,ICICI Bank,ICICIBank_Care
584,Kantar,Kantar
585,Jabil,Jabil
586,Microsoft Australia,MSAU
587,Smurfit Kappa Group,smurfitkappa
588,HBL - Habib Bank,null
589,Biogen,biogen
590,Tecnicas Reunidas,null
591,Air France,AirFranceFR
592,Foot Locker,footlocker
593,Genpact,genpact_ltd
594,Nasdaq,null
595,Falabella,Falabella_co
596,DSV Global Transport and Logistics,null
597,Ethiopian Airlines,flyethiopian
598,Akka Technologies,AkkaTechnologie
599,Nielsen Company,Nielsen
600,CIBC,cibc
601,JC Penney,jcpenney
602,Accenture India,accentureindia
603,Xerox,Xerox
604,Vale,valeglobal
605,Bureau Veritas,_BureauVeritas
606,Natwest Group,NatWestGroup
607,Telcel,Telcel
608,Thomson Reuters,thomsonreuters
609,�koda Auto,skodaweb
610,Copa Airlines,copaairlines
611,Bayern Munich,FCBayern
612,Denso,DENSOAutoParts
613,Lindt & Sprungli,Lindt
614,Disney International Operations,null
615,Boehringer Ingelheim,boehringer
616,Aeromexico,aeromexico
617,SNCF,Clt_VoyagesSncf
618,Swiss Re,SwissRe
619,PNC Financial Services,pncnews
620,Western Union,WesternUnion
621,Epic Games,EpicGames
622,Caixabank,AccionistasCABK
623,Stanley Black & Decker,StanleyBlkDeckr
624,Navy Federal Credit Union,NavyFederal
625,Pearson,pearsonplc
626,Acciona,ACCIONA
627,Allianz Malaysia,null
628,TD Bank,TDBank_US
629,Cr�dit Agricole CIB,CA_CIB
630,LATAM Airlines,ClubMedFR
